PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,FAU,AU,AUID,AD,LA,PT,PL,TA,JT,JID,SB,MH,PMC,MID,COIS,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,OTO,OT,GR,DEP,RN,CTDT,PB,BTI,CI,CN,TT,CON,CIN,SI,UOF,UIN,OID,PS,FPS,RF,EIN,PMCR
37326461,NLM,MEDLINE,20230622,20230622,1872-6623 (Electronic) 0304-3959 (Print) 0304-3959 (Linking),164,7,2023 Jul 1,"Is blue light a red herring in a rodent model of ""computer vision syndrome""?",1640,10.1097/j.pain.0000000000002941 [doi],"['Moulton, Eric A', 'Galor, Anat', 'Ciolino, Joseph B', 'Jacobs, Deborah S']","['Moulton EA', 'Galor A', 'Ciolino JB', 'Jacobs DS']","['ORCID: 0000-0002-7959-8441', 'ORCID: 0000-0002-3026-6155', 'ORCID: 0000-0002-6223-3091', 'ORCID: 0000-0002-8587-1184']","[""Brain and Eye Pain Imaging Lab, Pain and Affective Neuroscience Center, Department of Anesthesiology, Critical Care and Pain Medicine, Boston Children's Hospital, Harvard Medical School, Boston, MA, United States."", ""Department of Ophthalmology, Boston Children's Hospital, Harvard Medical School, Boston, MA, United States."", 'Surgical Services, Miami Veterans Administration Medical Center, Miami, FL, United States.', 'Bascom Palmer Eye Institute, University of Miami, Miami, FL, United States.', 'Cornea and Refractive Surgery Service, Department of Ophthalmology, Massachusetts Eye and Ear Infirmary, Harvard Medical School, Boston, MA, United States.', 'Cornea and Refractive Surgery Service, Department of Ophthalmology, Massachusetts Eye and Ear Infirmary, Harvard Medical School, Boston, MA, United States.']",['eng'],['Journal Article'],United States,Pain,Pain,7508686,IM,"['*Light/adverse effects', 'Rodentia', 'Animals', '*Disease Models, Animal', '*Asthenopia', '*Computers']",PMC10287036,['NIHMS1897253'],['Conflict of Interest None of the authors have any conflicts of interest.'],2023/06/16 13:10,2023/06/19 13:09,['2023/06/16 09:35'],"['2023/06/19 13:09 [medline]', '2023/06/16 13:10 [pubmed]', '2023/06/16 09:35 [entrez]']","['00006396-202307000-00023 [pii]', '10.1097/j.pain.0000000000002941 [doi]']",ppublish,Pain. 2023 Jul 1;164(7):1640. doi: 10.1097/j.pain.0000000000002941.,,,,,,,,,,,,,,,,,,,,,,,
37322686,NLM,MEDLINE,20230619,20230619,1998-3689 (Electronic) 0301-4738 (Linking),71,6,2023 Jun,Refractive error changes and associated asthenopia observed after COVID-19 infection: Case reports from two continents.,2592-2594,10.4103/IJO.IJO_2581_22 [doi],"['Thakur, Monika', 'Panicker, Thanuja', 'Satgunam, PremNandhini']","['Thakur M', 'Panicker T', 'Satgunam P']",,"['Brien Holden Institute of Optometry and Vision Sciences, L V Prasad Eye Institute, Hyderabad, Telangana, India.', 'Eyelight Optometrists, Unit 11 lot 171, Oasis Motel Premises, Zeerust Road, Tlokweng, Botswana.', 'Brien Holden Institute of Optometry and Vision Sciences; Hyderabad Eye Research Foundation, L V Prasad Eye Institute, Hyderabad, Telangana, India.']",['eng'],['Case Reports'],India,Indian J Ophthalmol,Indian journal of ophthalmology,0405376,IM,"['Humans', '*Asthenopia/diagnosis/etiology', '*COVID-19/complications', '*Refractive Errors/diagnosis/etiology', '*Hyperopia', 'Accommodation, Ocular']",,,['None'],2023/06/16 06:42,2023/06/19 13:09,['2023/06/16 00:24'],"['2023/06/19 13:09 [medline]', '2023/06/16 06:42 [pubmed]', '2023/06/16 00:24 [entrez]']","['IndianJOphthalmol_2023_71_6_2592_378492 [pii]', '10.4103/IJO.IJO_2581_22 [doi]']",ppublish,Indian J Ophthalmol. 2023 Jun;71(6):2592-2594. doi: 10.4103/IJO.IJO_2581_22.,"COVID-19 infection has been linked to various ocular complications and complaints, but not to refractive errors. In this case report, we present ethnically diverse patients who reported asthenopic symptoms shortly after recovering from COVID-19 infection. The hyperopic shift in the refractive error, post-COVID could indicate the ciliary body muscle's inability to sustain accommodation, resulting in asthenopia. Hence, refractive errors should also be considered as a post-COVID complication, even if the magnitude is small, especially when patients have a headache and other asthenopic symptoms. Performing dynamic retinoscopy and cycloplegic refraction will also aid in the better management of these patients.",['NOTNLM'],"['Asthenopia', 'COVID-19', 'binocular vision', 'hyperopia']",,,,,,,,,,,,,,,,,,,,
37299596,NLM,MEDLINE,20230612,20230612,2072-6643 (Electronic) 2072-6643 (Linking),15,11,2023 Jun 5,"Polyunsaturated Fatty Acids (PUFAs): Sources, Digestion, Absorption, Application and Their Potential Adjunctive Effects on Visual Fatigue.",,10.3390/nu15112633 [doi] 2633,"['Duan, Hao', 'Song, Wei', 'Zhao, Jian', 'Yan, Wenjie']","['Duan H', 'Song W', 'Zhao J', 'Yan W']",,"['College of Biochemical Engineering, Beijing Union University, Beijing 100023, China.', 'Beijing Key Laboratory of Bioactive Substances and Functional Food, Beijing Union University, Beijing 100023, China.', 'Beijing Key Laboratory of Bioactive Substances and Functional Food, Beijing Union University, Beijing 100023, China.', 'Beijing Key Laboratory of Bioactive Substances and Functional Food, Beijing Union University, Beijing 100023, China.', 'College of Biochemical Engineering, Beijing Union University, Beijing 100023, China.', 'Beijing Key Laboratory of Bioactive Substances and Functional Food, Beijing Union University, Beijing 100023, China.']",['eng'],"['Journal Article', 'Review']",Switzerland,Nutrients,Nutrients,101521595,IM,"['Humans', '*Fatty Acids, Omega-3', '*Asthenopia', 'Fatty Acids, Unsaturated', 'Functional Food', 'Digestion', 'Fatty Acids']",PMC10255902,,['The authors declare no conflict of interest.'],2023/06/10 15:14,2023/06/12 06:43,['2023/06/10 01:19'],"['2023/05/11 00:00 [received]', '2023/05/28 00:00 [revised]', '2023/06/02 00:00 [accepted]', '2023/06/12 06:43 [medline]', '2023/06/10 15:14 [pubmed]', '2023/06/10 01:19 [entrez]']","['nu15112633 [pii]', 'nutrients-15-02633 [pii]', '10.3390/nu15112633 [doi]']",epublish,Nutrients. 2023 Jun 5;15(11):2633. doi: 10.3390/nu15112633.,"When the eyes are exposed to the environment, they are easily affected by strong light stimulation and harmful substances. At the same time, prolonged use of the eyes or incorrect eye habits can cause visual fatigue, which mainly manifests as eye dryness, soreness, blurred vision, and various discomforts. The main reason for this is a decline in the function of the eye, especially the cornea and retina on the surface of the eye, which have the greatest impact on the normal function of the eye. Research has found that supplementation with appropriate foods or nutrients can effectively strengthen the eye against external and internal stimuli, thereby alleviating or avoiding visual fatigue. Among these, supplementation with polyunsaturated fatty acids has been found to be effective at protecting eye health and relieving visual fatigue. This article summarizes the sources of polyunsaturated fatty acids (including the main dietary sources and internal synthesis), the mechanisms of digestion and absorption of polyunsaturated fatty acids in the body and the safety of polyunsaturated fatty acid applications. It also reviews the mechanism of action of polyunsaturated fatty acids in aiding the relief of visual fatigue based on the mechanism of impaired function or structure of the ocular surface and fundus in the hope of providing some reference and insight into the development and application of polyunsaturated fatty acids in functional foods for the relief of visual fatigue.",['NOTNLM'],"['PUFAs', 'absorption', 'mechanism', 'ocular surface', 'retina', 'safety', 'visual fatigue']","['XP202006 and ZK70202004/the Academic Research Projects of Beijing Union', 'University/']",20230605,"['0 (Fatty Acids, Omega-3)', '0 (Fatty Acids, Unsaturated)', '0 (Fatty Acids)']",,,,,,,,,,,,,,,,,
37264575,NLM,MEDLINE,20230605,20230605,0412-4081 (Print) 0412-4081 (Linking),59,6,2023 Jun 11,[Development of an asthenopia survey questionnaire for general surveys].,452-459,10.3760/cma.j.cn112142-20220712-00339 [doi],"['Deng, R Z', 'Tian, L', 'Sun, X Q', 'Zhang, J F', 'Lin, N', 'Lin, Y Y', 'Lyu, F']","['Deng RZ', 'Tian L', 'Sun XQ', 'Zhang JF', 'Lin N', 'Lin YY', 'Lyu F']",,"['Eye Hospital of Wenzhou Medical University, Nation Clinical Research Center for Ocular Diseases, Wenzhou 325027, China.', 'Eye Hospital of Wenzhou Medical University, Nation Clinical Research Center for Ocular Diseases, Wenzhou 325027, China.', 'Eye Hospital of Wenzhou Medical University, Nation Clinical Research Center for Ocular Diseases, Wenzhou 325027, China.', 'Eye Hospital of Wenzhou Medical University, Nation Clinical Research Center for Ocular Diseases, Wenzhou 325027, China.', 'Eye Hospital of Wenzhou Medical University, Nation Clinical Research Center for Ocular Diseases, Wenzhou 325027, China.', 'Eye Hospital of Wenzhou Medical University, Nation Clinical Research Center for Ocular Diseases, Wenzhou 325027, China.', 'Eye Hospital of Wenzhou Medical University, Nation Clinical Research Center for Ocular Diseases, Wenzhou 325027, China.']",['chi'],"['English Abstract', 'Journal Article']",China,Zhonghua Yan Ke Za Zhi,[Zhonghua yan ke za zhi] Chinese journal of ophthalmology,16210540R,IM,"['Male', 'Female', 'Humans', 'Young Adult', 'Adult', 'Middle Aged', 'Adolescent', 'Reproducibility of Results', '*Asthenopia', 'Cross-Sectional Studies', 'Surveys and Questionnaires', 'ROC Curve']",,,,2023/06/02 06:43,2023/06/05 06:42,['2023/06/02 02:05'],"['2023/06/05 06:42 [medline]', '2023/06/02 06:43 [pubmed]', '2023/06/02 02:05 [entrez]']",['10.3760/cma.j.cn112142-20220712-00339 [doi]'],ppublish,Zhonghua Yan Ke Za Zhi. 2023 Jun 11;59(6):452-459. doi: 10.3760/cma.j.cn112142-20220712-00339.,"Objective: To design a visual fatigue questionnaire that can be used for population surveys. Methods: This was a cross-sectional study that involved three stages of subjects' recruitment. In the first stage, by convenience sampling, 150 individuals who complained of visual fatigue were selected at public places in Wenzhou City in May 2016. The 19-Item Asthenopia Survey Questionnaire (ASQ-19) was used to conduct the survey, and the questionnaire was adjusted. In the second stage, 200 outpatient participants were recruited from Wenzhou Medical University Affiliated Eye and Optometry Hospital from June 2016 to May 2017 and were divided into a visual fatigue group and a control group based on clinical diagnosis. The adjusted visual fatigue questionnaire was used for validation. In the third stage, 64 outpatient participants who met the inclusion criteria were continuously recruited from the Wenzhou Medical University Affiliated Eye and Optometry Hospital in July 2022. They were tested using the adjusted visual fatigue questionnaire and retested one week later. During the questionnaire adjustment stage, factor analysis and feedback were used to adjust the scoring method and items of the ASQ-19 questionnaire. The adjusted questionnaire was then analyzed for reliability, validity, accuracy, and subject acceptance during the validation and retest stages. Results: A total of 403 participants were included, and 456 questionnaires were distributed. Eventually, 432 valid questionnaires were collected from 379 participants, resulting in a valid response rate of 94.7%. During the questionnaire adjustment phase, there were 140 valid questionnaires from 140 participants consisting of 56 males and 84 females with an average age of (35.2+/-12.4) years. In the questionnaire validation phase, there were 186 valid questionnaires from 186 participants. Sixty-two participants had visual fatigue and 124 were controls. During the questionnaire retesting phase, 53 participants yielded 106 valid questionnaires. The group consisted of 20 males and 33 females with an average age of (22.8+/-4.9) years. After factor analysis, the symptom severity graded as none, mild, moderate, severe, and very severe was scored as 0, 1, 2, 3, and 4 points, respectively. The total score was 44, and the final questionnaire consisted of 11 items (numbered 1, 2, 3, 5, 6, 8, 10, 15, 17, 18, and 19). The 11-Item Asthenopia Survey Questionnaire (ASQ-11) had a Cronbach's alpha coefficient of 0.89, a split-half reliability of 0.82, and a test-retest Pearson correlation coefficient of 0.90 (P<0.001). The structural validity was 51.26%, and the discriminative validity was a t-value of 9.19 (P<0.001). On average, it took (2.82+/-0.43) minutes for participants to complete the questionnaire. The receiver operating characteristic curve had a cutoff value of 8.5, with a sensitivity of 74.19% and a specificity of 80.65%. Conclusion: The ASQ-11, with fewer items and a shorter completion time, is easy for participants to use and is suitable for screening or self-assessment of visual fatigue in the general population. Additionally, it is convenient for clinical and epidemiological studies related to visual fatigue.",,,"[""2021CDPFAT-41, 2022CDPFAT-23/Research Project of China Disabled Persons'"", 'Federation on Assistive Technology/', '2020YFC2008200/National Key R&D Program of China/', 'Y2020036/Wenzhou Municipal Science and Technology Bureau/']",,,,,,,,,,,,,,,,,,,
37203083,NLM,MEDLINE,20230522,20230615,1998-3689 (Electronic) 0301-4738 (Linking),71,5,2023 May,The 20/20/20 rule: Practicing pattern and associations with asthenopic symptoms.,2071-2075,10.4103/ijo.IJO_2056_22 [doi],"['Datta, Sourav', 'Sehgal, Shivalika', 'Bhattacharya, Bidisha', 'Satgunam, Prem Nandhini']","['Datta S', 'Sehgal S', 'Bhattacharya B', 'Satgunam PN']",,"['Brien Holden Institute of Optometry and Vision Sciences, Hyderabad, Telangana, India.', 'Brien Holden Institute of Optometry and Vision Sciences, Hyderabad, Telangana, India.', 'Brien Holden Institute of Optometry and Vision Sciences, Hyderabad, Telangana, India.', 'L V Prasad Eye Institute, Hyderabad, Telangana, India.']",['eng'],['Journal Article'],India,Indian J Ophthalmol,Indian journal of ophthalmology,0405376,IM,"['Male', 'Adult', 'Female', 'Child', 'Humans', 'Child, Preschool', '*Asthenopia/diagnosis/epidemiology/etiology', '*COVID-19/epidemiology', 'Vision Disorders/diagnosis', 'Headache', '*Dry Eye Syndromes/diagnosis/epidemiology']",,,['None'],2023/05/19 06:42,2023/05/22 06:42,['2023/05/19 01:49'],"['2023/05/22 06:42 [medline]', '2023/05/19 06:42 [pubmed]', '2023/05/19 01:49 [entrez]']","['IndianJOphthalmol_2023_71_5_2071_376977 [pii]', '10.4103/ijo.IJO_2056_22 [doi]']",ppublish,Indian J Ophthalmol. 2023 May;71(5):2071-2075. doi: 10.4103/ijo.IJO_2056_22.,"PURPOSE: The present work style and lifestyle have increased the digital device use. Therefore, an increase in digital eyestrain is to be expected. We undertook a survey during coronavirus disease 2019 (COVID-19) pandemic to investigate the practice of 20/20/20 rule and its association with digital device use and asthenopic symptoms. While this rule is commonly advised, little is known about its validity. METHODS: An online survey form was disseminated through social media and emails. The questions for eye-related symptoms were similar to the convergence insufficiency symptom survey (CISS). Participants with age >/=5 years were included, with parents completing the survey for children (</=16 years). RESULTS: A total of 432 participants (mean +/- standard deviation [SD]: 26.06 +/- 13.92 years) were enrolled, of which 125 responses were for children. The 20/20/20 rule was practiced only by 34% of the participants either regularly (n = 38) or occasionally (n = 109). Those who had complaints of burning sensation and headache tended to practice this rule. Among adult participants, more females (47%) practiced this rule when compared to males (23%). Also, adult females significantly (P = 0.04) had more symptoms score when compared to males. In children, no such gender difference was found. CONCLUSION: Only one-third of participants practice the 20/20/20 rule at least occasionally. More number of adult females being symptomatic and practicing in greater number could be due to higher prevalence of dry eye condition in females. While the symptom of burning sensation could be related to dry eye, that of headache could be related to refractive error or binocular vision dysfunctions.",['NOTNLM'],"['20-20-20 rule', 'COVID-19 pandemic', 'computer vision syndrome', 'digital eye strain']",,,,,,,,,,,,,,,,,,,,
37157589,NLM,MEDLINE,20230518,20230518,1094-4087 (Electronic) 1094-4087 (Linking),31,6,2023 Mar 13,Does the smartphone's eye protection mode work?,10420-10433,10.1364/OE.485195 [doi],"['Xu, Wenqian', 'Wu, Peiyu', 'Yao, Qi', 'Zhang, Rongjun', 'Li, Pengfei', 'Bao, Leimin', 'Wang, Cheng', 'Chen, Shenfei', 'Zhang, Yuhui', 'Shen, Yedong']","['Xu W', 'Wu P', 'Yao Q', 'Zhang R', 'Li P', 'Bao L', 'Wang C', 'Chen S', 'Zhang Y', 'Shen Y']",,,['eng'],['Journal Article'],United States,Opt Express,Optics express,101137103,IM,"['Humans', '*Smartphone', 'Circadian Rhythm', '*Asthenopia/prevention & control']",,,,2023/05/09 06:42,2023/05/10 06:42,['2023/05/09 02:08'],"['2023/05/10 06:42 [medline]', '2023/05/09 06:42 [pubmed]', '2023/05/09 02:08 [entrez]']","['527909 [pii]', '10.1364/OE.485195 [doi]']",ppublish,Opt Express. 2023 Mar 13;31(6):10420-10433. doi: 10.1364/OE.485195.,"People spend about 5-8 hours per day on phones, causing circadian disruption and eye fatigue, thus raising a great need for comfort and health. Most phones have eye protection modes, claiming a potential eye protection effect. To examine the effectiveness, we investigated the color quality, namely gamut area and just noticeable color difference (JNCD), and circadian effect, namely equivalent melanopic lux (EML) and melanopic daylight efficacy ratio (MDER), characteristics of two smartphones: iPhone 13 and HUAWEI P30, in normal and eye protection mode. The results show that the circadian effect is inversely proportional to color quality when the iPhone 13 and HUAWEI P30 changed from normal to eye protection mode. The gamut area changed from 102.51% to 82.5% sRGB and 100.36% to 84.55% sRGB, respectively. The EML and MDER decreased by 13 and 15, and, 0.50 and 0.38, respectively, affected by the eye protection mode and screen luminance. The EML and JNCD results in different modes show that the eye protection mode benefits the nighttime circadian effect at the cost of the image quality. This study provides a way to precisely assess the image quality and circadian effect of displays and elucidates the tradeoff relationship between them.",,,,,,,,,,,,,,,,,,,,,,
35881747,,Publisher,,,,,,2023 Jan,Astigmatism.,,,"['Gurnani, Bharat', 'Kaur, Kirandeep']","['Gurnani B', 'Kaur K']",,"['Aravind Eye Care System', 'Aravind Eye Hospital, Pondicherry']",['eng'],"['Study Guide', 'Book Chapter']",Treasure Island (FL),,,,,,,,"['Disclosure: Bharat Gurnani declares no relevant financial relationships with', 'ineligible companies. Disclosure: Kirandeep Kaur declares no relevant financial', 'relationships with ineligible companies.']",2023/05/04 00:00,,['2023/05/04 00:00'],,['NBK582142 [bookaccession]'],,,"Astigmatism is a common refractive error, where refraction changes in different meridians of the eye. The light rays passing through the eye cannot converge at a particular focal point but form focal lines. In other words, astigmatism is a condition where parallel rays of light passing from the cornea do not converge to a point focus on the retina. Astigmatism can be regular or irregular. The etiology of astigmatism can be corneal, lenticular, or retinal. Regular astigmatism is divided into with the rule astigmatism, against the rule astigmatism, oblique, and bi-oblique astigmatism. The principle of Sturm's conoid defines the optics of regular astigmatism. Astigmatism can also be divided into simple, compound, and mixed astigmatism. The common symptoms of astigmatism can be asthenopia, discomfort,  blurred and defective vision, elongation of objects, and accommodation problems. The signs include partial lid closure, head tilt, vertically oval or tilted optic disc, and different power in different meridians. The investigations needed include retinoscopy, slit lamp, examination, keratometry, Schiempflug imaging, astigmatic fan, and Jackson cross-cylinder evaluation. Astigmatism can be managed with spectacles, contact lenses, and surgical correction of astigmatism through refractive surgery, toric IOL implantation, and astigmatic relaxing incisions.",,,,,,['20230504'],['StatPearls Publishing'],['StatPearls'],"['Copyright (c) 2023, StatPearls Publishing LLC.']",,,,,,,,,,,,,
37111062,NLM,MEDLINE,20230501,20230501,2072-6643 (Electronic) 2072-6643 (Linking),15,8,2023 Apr 12,Taurine: A Source and Application for the Relief of Visual Fatigue.,,10.3390/nu15081843 [doi] 1843,"['Duan, Hao', 'Song, Wei', 'Guo, Jinhong', 'Yan, Wenjie']","['Duan H', 'Song W', 'Guo J', 'Yan W']",,"['College of Biochemical Engineering, Beijing Union University, Beijing 100023, China.', 'Beijing Key Laboratory of Bioactive Substances and Functional Food, Beijing Union University, Beijing 100023, China.', 'Beijing Key Laboratory of Bioactive Substances and Functional Food, Beijing Union University, Beijing 100023, China.', 'College of Biochemical Engineering, Beijing Union University, Beijing 100023, China.', 'Beijing Key Laboratory of Bioactive Substances and Functional Food, Beijing Union University, Beijing 100023, China.', 'College of Biochemical Engineering, Beijing Union University, Beijing 100023, China.', 'Beijing Key Laboratory of Bioactive Substances and Functional Food, Beijing Union University, Beijing 100023, China.']",['eng'],"['Journal Article', 'Review', 'Systematic Review']",Switzerland,Nutrients,Nutrients,101521595,IM,"['Humans', '*Taurine/pharmacology', '*Asthenopia', 'Diet', 'Functional Food', 'Dietary Supplements']",PMC10142897,,['The authors declare no conflict of interest.'],2023/04/28 06:42,2023/05/01 06:42,['2023/04/28 01:44'],"['2023/03/18 00:00 [received]', '2023/04/03 00:00 [revised]', '2023/04/08 00:00 [accepted]', '2023/05/01 06:42 [medline]', '2023/04/28 06:42 [pubmed]', '2023/04/28 01:44 [entrez]']","['nu15081843 [pii]', 'nutrients-15-01843 [pii]', '10.3390/nu15081843 [doi]']",epublish,Nutrients. 2023 Apr 12;15(8):1843. doi: 10.3390/nu15081843.,"According to reports, supplementation with appropriate doses of taurine may help to reduce visual fatigue. Presently, some progress has been made in research related to taurine in eye health, but the lack of systematic summaries has led to the neglect of its application in the relief of visual fatigue. This paper, therefore, provides a systematic review of the sources of taurine, including the endogenous metabolic and exogenous dietary pathways, as well as a detailed review of the distribution and production of exogenous taurine. The physiological mechanisms underlying the production of visual fatigue are summarized and the research progress of taurine in relieving visual fatigue is reviewed, including the safety of consumption and the mechanism of action in relieving visual fatigue, in order to provide some reference basis and inspiration for the development and application of taurine in functional foods for relieving visual fatigue.",['NOTNLM'],"['relief of visual fatigue', 'safety', 'source', 'taurine', 'visual fatigue']","['32172244/National Natural Science Foundation of China/', 'XP202006 and ZK70202004/the Academic Research Projects of Beijing Union', 'University/']",20230412,['1EQV5MLY3D (Taurine)'],,,,,,,,,,,,,,,,,
37088700,NLM,MEDLINE,20230425,20230606,1024-2708 (Print) 1024-2708 (Linking),29,2,2023 Apr,Asthenopia prevalence and vision impairment severity among students attending online classes in low-income areas of western China during the COVID-19 pandemic.,150-157,10.12809/hkmj219864 [doi],"['Ding, Y', 'Guan, H', 'Du, K', 'Zhang, Y', 'Wang, Z', 'Shi, Y']","['Ding Y', 'Guan H', 'Du K', 'Zhang Y', 'Wang Z', 'Shi Y']",,"[""Center for Experimental Economics for Education, Shaanxi Normal University, Xi'an, China."", ""Center for Experimental Economics for Education, Shaanxi Normal University, Xi'an, China."", ""College of Economics, Xi'an University of Finance and Economics, Xi'an, China."", ""Center for Experimental Economics for Education, Shaanxi Normal University, Xi'an, China."", ""Center for Experimental Economics for Education, Shaanxi Normal University, Xi'an, China."", ""Center for Experimental Economics for Education, Shaanxi Normal University, Xi'an, China.""]",['eng'],['Journal Article'],China,Hong Kong Med J,Hong Kong medical journal = Xianggang yi xue za zhi,9512509,IM,"['Humans', 'Child', 'Adolescent', '*COVID-19/epidemiology', '*Asthenopia/epidemiology', 'Pandemics', 'Prevalence', 'Students', 'China/epidemiology']",,,"['As an International Editorial Advisory Board member of the journal, Y Shi was not', 'involved in the peer review process. Other authors have disclosed no conflicts of', 'interest.']",2023/04/24 00:41,2023/04/25 06:42,['2023/04/23 22:03'],"['2023/04/25 06:42 [medline]', '2023/04/24 00:41 [pubmed]', '2023/04/23 22:03 [entrez]']",['10.12809/hkmj219864 [doi]'],ppublish,Hong Kong Med J. 2023 Apr;29(2):150-157. doi: 10.12809/hkmj219864.,"INTRODUCTION: This study explored the impact of online learning during the coronavirus disease 2019 (COVID-19) pandemic on asthenopia and vision impairment in students, with the aim of establishing a theoretical basis for preventive approaches to vision health. METHODS: This balanced panel study enrolled students from western rural China. Participant information was collected before and during the COVID-19 pandemic via questionnaires administered at local vision care centres, along with clinical assessments of visual acuity. Paired t tests and fixed-effects models were used to analyse pandemic-related differences in visual status. RESULTS: In total, 128 students were included (mean age before pandemic, 11.82 +/- 1.46 years). The mean total screen time was 3.22 +/- 2.90 hours per day during the pandemic, whereas it was 1.97 +/- 1.90 hours per day in the pre-pandemic period (P<0.001). Asthenopia prevalence was 55% (71/128) during the pandemic, and the mean visual acuity was 0.81 +/- 0.30 logarithm of the minimum angle of resolution; these findings indicated increasing vision impairment, compared with the pre-pandemic period (both P<0.001). Notably, asthenopia prevalence increased by two- to three-fold, compared with the pre-pandemic period. An increase in screen time while learning was associated with an increase in asthenopia prevalence (P=0.034). CONCLUSION: During the COVID-19 pandemic, students spent more time on online classes, leading to worse visual acuity and vision health. Students in this study reported a significant increase in screen time, which was associated with increasing asthenopia prevalence and worse vision impairment. Further research is needed regarding the link between online classes and vision problems.",['NOTNLM'],"['Asthenopia', 'COVID-19', 'Screen time']",,,,,,,,,,,,,,,,,,,,
37026285,NLM,MEDLINE,20230410,20230619,1998-3689 (Electronic) 0301-4738 (Print) 0301-4738 (Linking),71,4,2023 Apr,Dry eye symptoms and digital eyestrain - Emerging epidemics among university students due to online curriculum amid the COVID-19 pandemic. A cross-sectional study.,1472-1477,10.4103/IJO.IJO_2760_22 [doi],"['Jakhar, Fiza', 'Rodrigues, Gladys R', 'Mendonca, Teena M', 'Nayak, Rajesh R', 'Kamath, Gurudutt', 'Kamath, Sumana J', 'Kamath, Ajay']","['Jakhar F', 'Rodrigues GR', 'Mendonca TM', 'Nayak RR', 'Kamath G', 'Kamath SJ', 'Kamath A']",,"['Department of Ophthalmology, Kasturba Medical College, Mangalore, Manipal Academy of Higher Education, Manipal, Karnataka, India.', 'Department of Ophthalmology, Kasturba Medical College, Mangalore, Manipal Academy of Higher Education, Manipal, Karnataka, India.', 'Department of Ophthalmology, Kasturba Medical College, Mangalore, Manipal Academy of Higher Education, Manipal, Karnataka, India.', 'Department of Ophthalmology, Kasturba Medical College, Mangalore, Manipal Academy of Higher Education, Manipal, Karnataka, India.', 'Department of Ophthalmology, Kasturba Medical College, Mangalore, Manipal Academy of Higher Education, Manipal, Karnataka, India.', 'Department of Ophthalmology, Kasturba Medical College, Mangalore, Manipal Academy of Higher Education, Manipal, Karnataka, India.', 'Department of Ophthalmology, Kasturba Medical College, Mangalore, Manipal Academy of Higher Education, Manipal, Karnataka, India.']",['eng'],['Journal Article'],India,Indian J Ophthalmol,Indian journal of ophthalmology,0405376,IM,"['Humans', 'Adolescent', 'Young Adult', 'Adult', '*Asthenopia/epidemiology', 'Cross-Sectional Studies', 'Pandemics', 'Universities', '*COVID-19/epidemiology', '*Dry Eye Syndromes/epidemiology', 'Curriculum']",PMC10276681,,['None'],2023/04/08 06:00,2023/04/10 06:42,['2023/04/07 03:15'],"['2023/04/10 06:42 [medline]', '2023/04/07 03:15 [entrez]', '2023/04/08 06:00 [pubmed]']","['IndianJOphthalmol_2023_71_4_1472_373467 [pii]', 'IJO-71-1472 [pii]', '10.4103/IJO.IJO_2760_22 [doi]']",ppublish,Indian J Ophthalmol. 2023 Apr;71(4):1472-1477. doi: 10.4103/IJO.IJO_2760_22.,"PURPOSE: Increased screen time has been a major concern among the students who have adopted the online curriculum amid the pandemic. The study was conducted to shed light on the changing trends of symptoms pertaining to dry eye disease and digital eyestrain due to the online curriculum and its negative implications on the ocular health of students. METHODS: A cross-sectional study was conducted among students of Manipal Academy of Higher Education who are currently following the E-learning curriculum amid the COVID-19 pandemic the participants were surveyed using a pre-validated structured questionnaire. RESULTS: The mean age of study participants was 23.33 +/- 4.604 years. In total, 97.9% (321/352) of the respondents experienced at least three symptoms associated with the usage of digital devices. 88.1% of the participants were exposed to an average screen time of more than 4 hours per day. An increased number of hours of digital device usage was found to be associated with higher total symptom scores (P = 0.04). The total symptom scores were found to be considerably higher for those with continuous contact with the screen (P = 0.02). Headache (69.9%, n = 246) is the most commonly reported symptom followed by neck pain (65.3%, n = 230), tearing (44.6%, n = 157), eye pain (40.9%, n = 144), and burning sensation (40.1%, n = 141). CONCLUSION: This study highlights a tremendous increase in the prevalence of symptoms related to dry eye and digital eyestrain among students attending online classes during the COVID-19 pandemic. Eye care professionals need to be aware of this emerging public health threat and the appropriate measures for its prevention.",['NOTNLM'],"['Asthenopia', 'COVID-19', 'curriculum', 'dry eye', 'eye hygiene', 'screen time']",,,,,,,,,,,,,,,,,,,,
