PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,OTO,OT,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AUID,PMC,COIS,GR,CTDT,PB,BTI,OAB,OABL,PMCR,CON,CN,CIN,FIR,IR,SI,EIN,TT,MID,PS,FPS
37316121,NLM,MEDLINE,20230616,20230618,1553-6467 (Electronic) 0002-9459 (Linking),87,6,2023 Jun,Exploring the Relationship Between Imposter Phenomenon and Myers-Briggs Personality Types in Pharmacy Education.,100076,S0002-9459(23)00077-3 [pii] 10.1016/j.ajpe.2023.100076 [doi],"OBJECTIVE: To investigate the relationship between imposter phenomenon (IP) and Myers-Briggs Type Indicator (MBTI) personality types in pharmacy students. METHODS: This was a retrospective, observational study of doctor of pharmacy students who had previously completed MBTI and Clance Imposter Phenomenon Scale (CIPS) assessments. CIPS scores and categories were compared between the 4 MBTI personality type dichotomies using independent samples t tests and chi-square. RESULTS: Mean CIPS score for included pharmacy students (N = 668) was 62.52 (SD 14.82). Clance Imposter Phenomenon Scale scores were significantly higher in students with MBTI of introversion (mean 64.14, SD 14.27), intuition (mean 63.80, SD 15.78), and perceiving (mean 64.38, SD 15.55) as compared to their dichotomous counterparts. No significant difference in mean CIPS scores was found within the thinking/feeling dichotomy. When analyzing IP risk associated with the various MBTI personality dichotomies, introverts were at a 1.8 times greater risk of high/severe IP than extroverts. Additionally, students with perceiving personality types were at a 1.4 times greater risk of high/severe IP than those with judging personality types. CONCLUSION: Our study suggests that pharmacy students with introversion, intuitive, and perceptive personality types exhibit higher CIPS scores, and those with introversion or perceptive personality types are at risk for high/severe IP. Given the common MBTI types and a high degree of IP in pharmacy students, our findings underlie the need for open, targeted discussions about IP and proactively incorporating strategies and resources within a curriculum to support students in normalizing and easing anxiety.","['Copyright (c) 2023 American Association of Colleges of Pharmacy. Published by', 'Elsevier Inc. All rights reserved.']","['Kodweis, Karl R', 'Jasmin, Hilary M', 'Hall, Elizabeth A', 'Havrda, Dawn E']","['Kodweis KR', 'Jasmin HM', 'Hall EA', 'Havrda DE']","['University of Tennessee Health Science Center College of Pharmacy, Memphis, TN, USA.', 'University of Tennessee Health Science Center Health Sciences Library, Memphis, TN, USA.', 'University of Tennessee Health Science Center College of Pharmacy, Memphis, TN, USA.', 'University of Tennessee Health Science Center College of Pharmacy, Memphis, TN, USA. Electronic address: dhavrda@uthsc.edu.']",['eng'],"['Journal Article', 'Observational Study']",20230509,United States,Am J Pharm Educ,American journal of pharmaceutical education,0372650,['imposter syndrome'],IM,"['Humans', '*Education, Pharmacy', 'Anxiety Disorders', 'Personality', '*Students, Pharmacy']",['NOTNLM'],"['Clance Imposter Phenomenon Scale', 'Imposter phenomenon', 'Myers-Briggs', 'Personality types', 'Pharmacy education']",2023/06/15 01:08,2023/06/16 06:42,['2023/06/14 21:02'],"['2022/10/09 00:00 [received]', '2023/01/17 00:00 [revised]', '2023/02/18 00:00 [accepted]', '2023/06/16 06:42 [medline]', '2023/06/15 01:08 [pubmed]', '2023/06/14 21:02 [entrez]']","['S0002-9459(23)00077-3 [pii]', '10.1016/j.ajpe.2023.100076 [doi]']",ppublish,Am J Pharm Educ. 2023 Jun;87(6):100076. doi: 10.1016/j.ajpe.2023.100076. Epub 2023 May 9.,,,,,,,,,,,,,,,,,,,,,
37312630,NLM,Publisher,,20230614,1365-2923 (Electronic) 0308-0110 (Linking),,,2023 Jun 13,"His opportunity, her burden: A narrative critical review of why women decline academic opportunities.",,10.1111/medu.15141 [doi],"OBJECTIVES: This paper stems from a desire to deepen our own understanding of why women might 'say no' when allies and sponsors offer or create opportunities for advancement, leadership or recognition. The resulting disparity between representation by men and women in leadership positions, invited keynote speakers and publication counts in academic medicine is a stubborn and wicked problem that requires a synthesis of knowledge across multidisciplinary literature. Acknowledging the complexity of this topic, we selected a narrative critical review methodology to explore reasons why one man's opportunity might be a woman's burden in academic medicine. METHODS: We engaged with an iterative process of identifying, reviewing and interpreting literature from Psychology (cognitive, industrial and educational), Sociology, Health Professions Education and Business, placing no restrictions on context or year of publication. Knowledge synthesis and interpretation were guided by our combined expertise, lived experience, consultations with experts outside the author team and these guiding questions: (1) Why might women have less time for career advancement opportunities? (2) Why do women have less time for research and leadership? (3) How are these disparities maintained? RESULTS: Turning down an opportunity may be a symptom of a much larger issue. The power of social expectations, culture and gender stereotypes remains a resistant force against calls for action. Consequently, women disproportionately take on other tasks that are not as well recognised. This disparity is maintained through social consequences for breaking with firmly entrenched stereotypes. CONCLUSIONS: Popular strategies like 'lean into opportunities', 'fake it till you make it' and 'overcome your imposter syndrome' suggest that women are standing in their own way. Critically, these axioms ignore powerful systemic barriers that shape these choices and opportunities. We offer strategies that allies, sponsors and peers can implement to offset the power of stereotypes.","['(c) 2023 The Authors. Medical Education published by Association for the Study of', 'Medical Education and John Wiley & Sons Ltd.']","['Monteiro, Sandra', 'Chan, Teresa M', 'Kahlke, Renate']","['Monteiro S', 'Chan TM', 'Kahlke R']","['McMaster University, Hamilton, Canada.', 'McMaster University, Hamilton, Canada.', 'McMaster University, Hamilton, Canada.']",['eng'],['Journal Article'],20230613,England,Med Educ,Medical education,7605655,,IM,,,,2023/06/14 06:42,2023/06/14 06:42,['2023/06/14 03:43'],"['2023/05/08 00:00 [revised]', '2023/02/27 00:00 [received]', '2023/05/15 00:00 [accepted]', '2023/06/14 06:42 [medline]', '2023/06/14 06:42 [pubmed]', '2023/06/14 03:43 [entrez]']",['10.1111/medu.15141 [doi]'],aheadofprint,Med Educ. 2023 Jun 13. doi: 10.1111/medu.15141.,"['ORCID: 0000-0001-8723-5942', 'ORCID: 0000-0001-6104-462X', 'ORCID: 0000-0002-4473-5039']",,,,,,,,,,,,,,,,,,,,
37288697,NLM,MEDLINE,20230609,20230613,1553-6467 (Electronic) 0002-9459 (Linking),87,5,2023 May,Student Pharmacist Engagement in Infographic Creation to Increase Awareness of Impostor Phenomenon.,100074,S0002-9459(23)00075-X [pii] 10.1016/j.ajpe.2023.100074 [doi],"OBJECTIVE: To assess first professional year (P1) students learning about impostor phenomenon (IP) through participation in learning activities featuring the creation of an educational IP infographic. METHODS: A total of 167 P1 students were invited to complete a validated survey to determine baseline IP tendencies and attended a near-peer-delivered course lecture on IP. Student groups of 4 created an infographic containing IP lecture information and survey results, aimed at increasing IP awareness in a target audience. Mixed methods were integrated to assess learning outcomes. Qualitatively, infographics were evaluated by rubric for completeness, accuracy, and visual literacy, and student reflections were thematically evaluated on the impact of IP activities; quantitatively, 19 student learning objectives were anonymously self-assessed by Likert Scale survey. Students viewed all 42 created infographics, applied criteria, and voted for the 3 best. RESULTS: Survey results indicated 58% of P1 students exhibited IP tendencies above the scale's defined threshold for significant impostorism. Student groups demonstrated IP learning through developing creative, accurate, and concise infographics, with a mean score of 85% (4.27/5). Assessment survey respondents agreed they can confidently describe IP (92%) and design an infographic for a target audience using acquired knowledge (99%). Through critical reflections on the impact of IP exercises, students expressed improvement in self-awareness and communication skills; described the benefits of engagement in random peer groups; and voiced appreciation for a novel method of learning material (infographic creation). CONCLUSION: Students demonstrated learning about IP by incorporating lecture and survey results into engaging infographics and expressed benefits from learning about this important topic that is prevalent in P1 students.","['Copyright (c) 2023 American Association of Colleges of Pharmacy. Published by', 'Elsevier Inc. All rights reserved.']","['Negron, Viveca Velez', 'Briceland, Laurie L', 'Denvir, Paul M']","['Negron VV', 'Briceland LL', 'Denvir PM']","['Department of Pharmacy Practice, Albany College of Pharmacy and Health Sciences, Albany, NY, USA.', 'Department of Pharmacy Practice, Albany College of Pharmacy and Health Sciences, Albany, NY, USA. Electronic address: laurie.briceland@acphs.edu.', 'Department of Population Health Sciences, Albany College of Pharmacy and Health Sciences, Albany, NY, USA.']",['eng'],['Journal Article'],20230509,United States,Am J Pharm Educ,American journal of pharmaceutical education,0372650,['imposter syndrome'],IM,"['Humans', '*Data Visualization', 'Pharmacists', '*Education, Pharmacy', 'Students']",['NOTNLM'],"['Impostor phenomenon', 'Infographics', 'Peer-to-peer engagement', 'Professional identity formation', 'Student pharmacist well-being']",2023/06/08 13:08,2023/06/09 06:42,['2023/06/08 06:18'],"['2022/10/04 00:00 [received]', '2022/12/30 00:00 [revised]', '2023/02/16 00:00 [accepted]', '2023/06/09 06:42 [medline]', '2023/06/08 13:08 [pubmed]', '2023/06/08 06:18 [entrez]']","['S0002-9459(23)00075-X [pii]', '10.1016/j.ajpe.2023.100074 [doi]']",ppublish,Am J Pharm Educ. 2023 May;87(5):100074. doi: 10.1016/j.ajpe.2023.100074. Epub 2023 May 9.,,,,,,,,,,,,,,,,,,,,,
37264779,NLM,Publisher,,20230602,1361-6609 (Electronic) 0963-6625 (Linking),,,2023 Jun 2,The next generation of climate scientists as science communicators.,9636625231176382,10.1177/09636625231176382 [doi],"Climate scientists face many challenges when it comes to communicating their work to the public, yet it is largely unknown how junior climate scientists give meaning to their role as science communicators. Therefore, the current research conducted five focus group discussions with Dutch junior climate scientists, which were structured around the following themes: (a) common barriers; (b) climate advocacy; (c) message content; and (d) climate skepticism, misinformation, and incivility. The results reveal the motivations and barriers for junior climate scientists to do science communication. New barriers were identified relating to participants' lack of seniority, meaning a self-attributed lack of expertise and not having established their scientific credentials yet, providing evidence for the imposter syndrome. Furthermore, many participants alluded to the information-deficit model and indicated they do not know where to start with science communication. Overall, the findings show uncertainty, which could be mitigated by media training and institutionalized incentives.",,"['van Eck, Christel W']",['van Eck CW'],"['University of Amsterdam, The Netherlands.']",['eng'],['Journal Article'],20230602,England,Public Underst Sci,"Public understanding of science (Bristol, England)",9306503,,,,['NOTNLM'],"['climate advocacy', 'climate change', 'climate scientists', 'public engagement', 'science communication']",2023/06/02 06:43,2023/06/02 06:43,['2023/06/02 03:53'],"['2023/06/02 06:43 [medline]', '2023/06/02 06:43 [pubmed]', '2023/06/02 03:53 [entrez]']",['10.1177/09636625231176382 [doi]'],aheadofprint,Public Underst Sci. 2023 Jun 2:9636625231176382. doi: 10.1177/09636625231176382.,['ORCID: 0000-0001-9078-4985'],,,,,,,,,,,,,,,,,,,,
37202826,NLM,PubMed-not-MEDLINE,,20230522,2055-0928 (Electronic) 2055-0928 (Linking),9,1,2023 May 18,Impostor phenomenon in registered dietitians: an exploratory survey.,64,10.1186/s40795-023-00720-1 [doi] 64,"BACKGROUND: Impostor phenomenon, also referred to as imposter syndrome or impostorism, was initially identified among high achieving women who felt undeserving of their successes because they felt they were earned through luck or chance, rather than skill or experience. It's prevalence has been identified in many health professions; however, there are no known studies of Registered Dietitians' (RDs) perceptions of impostor phenomenon. This study assesses the following among RDs: [1] prevalence of impostor phenomenon and differences in impostor phenomenon levels, if any, based on [2] highest educational level achieved and [3] years of experience as an RD. METHODS: A cross-sectional survey was sent electronically to 5,000 RDs credentialed by the Commission on Dietetic Registration in the United States. Respondents' agreement with 20 impostor phenomenon statements from the Clance Impostor Phenomenon Scale were measured. The sum score from the scale was used to classify levels of impostor phenomenon. Descriptive statistics and chi square analyses for comparison were evaluated. RESULTS: Of the 445 (9%) who began the survey, 266 (5%) completed it and were included in analyses. Over 76% of 266 individuals reported at least moderate impostorism (score of 40 or fewer points out of 100). No difference was seen based on educational level (p = .898); however, those with less than five years' experience reported higher impostor phenomenon (p < .05). Among those with five to 39 years' experience, over 40% reported moderate impostorism. CONCLUSION: Impostor phenomenon is prevalent among RDs. Moderate impostorism was pervasive among all those with less than 40 years' experience and could potentially negatively impact these respondents. Future research could explore ways to reduce impostor phenomenon in RDs.",['(c) 2023. The Author(s).'],"['Hernandez, Jennifer L', 'Lopez, Nanette V']","['Hernandez JL', 'Lopez NV']","['PhD Candidate in Curriculum & Instruction, Northern Arizona University, 1100 South Beaver Street, PO Box 15095, Flagstaff, AZ, 86011, USA. jlh863@nau.edu.', 'Northern Arizona University, 1100 South Beaver Street, PO Box 15095, Flagstaff, AZ, 86011, USA.']",['eng'],['Journal Article'],20230518,England,BMC Nutr,BMC nutrition,101672434,,,,['NOTNLM'],"['Confidence', 'Imposter syndrome', 'Impostor phenomenon', 'Registered dietitian', 'Survey']",2023/05/19 01:04,2023/05/19 01:05,['2023/05/18 23:35'],"['2022/02/14 00:00 [received]', '2023/05/09 00:00 [accepted]', '2023/05/19 01:05 [medline]', '2023/05/19 01:04 [pubmed]', '2023/05/18 23:35 [entrez]']","['10.1186/s40795-023-00720-1 [pii]', '720 [pii]', '10.1186/s40795-023-00720-1 [doi]']",epublish,BMC Nutr. 2023 May 18;9(1):64. doi: 10.1186/s40795-023-00720-1.,"['ORCID: 0000-0002-6148-3486', 'ORCID: 0000-0001-9063-6368']",PMC10195004,"['There are no conflicts of interest to report for any of the authors. The datasets', 'used and/or analysed during the current study are available from the', 'corresponding author on reasonable request. The authors declare no competing', 'interests.']",,,,,,,,,,,,,,,,,,
37188407,NLM,MEDLINE,20230517,20230517,1532-8481 (Electronic) 8755-7223 (Linking),46,,2023 May-Jun,Experiences of Doctor of Nursing Practice (DNP)-prepared nurses choosing to pursue a Doctor of Philosophy (PhD) degree.,168-178,S8755-7223(23)00042-X [pii] 10.1016/j.profnurs.2023.03.003 [doi],"BACKGROUND: Increasingly, nurses with a Doctor of Nursing Practice (DNP) degree are seeking a Doctor of Philosophy (PhD) degree. This subset of students may provide valuable insight for bolstering the PhD-prepared workforce, which is in decline. PURPOSE: The purpose of this research was to understand the essence of the lived experience of DNP-prepared nurses choosing to pursue a PhD degree. METHOD: An existential phenomenological study was undertaken, with 10 DNP-to-PhD students interviewed. RESULTS: The DNP-to-PhD experience is about being On a Mission. The Nursing Hierarchy was an implicit force influencing students' missions, and their experiences were characterized by five themes: (a) Having Needs the DNP Can't Meet: ""I had to go back and do more,"" (b) Considering Dreams and Circumstances: ""Now's the time,"" (c) Developing Confidence: ""You can do this!"" (d) ""I've been very supported""/""I had no support,"" and (e) ""It had to be an internal drive for me."" CONCLUSIONS: Study findings demonstrate profound effects of the nursing hierarchy on students' decisions as well as misperceptions that still surround DNP and PhD education and careers. Nursing academicians, organizational leaders, and researchers must address PhD program disinterest, intimidation, and imposter syndrome and improve messaging about both degrees.",['Copyright (c) 2023 Elsevier Inc. All rights reserved.'],"['Munoz, Lauren R', 'Thomas, Sandra P', 'Sebach, Aaron M', 'Gibbons, Melinda M', 'Neal, Allyson M']","['Munoz LR', 'Thomas SP', 'Sebach AM', 'Gibbons MM', 'Neal AM']","['The George Washington University, 2175 K Street NW, Washington, DC 20037, USA. Electronic address: lauren.munoz@gwu.edu.', 'University of Tennessee - Knoxville, 1412 Circle Dr., Knoxville, TN 37996, USA. Electronic address: sthomas@utk.edu.', 'Wilmington University, 320 N. DuPont Hwy, New Castle, DE 19720, USA. Electronic address: aaron.m.sebach@wilmu.edu.', 'University of Tennessee - Knoxville, 1122 Volunteer Blvd., Knoxville, TN 37996, USA. Electronic address: mgibbon2@utk.edu.', 'University of Tennessee - Knoxville, 1412 Circle Dr., Knoxville, TN 37996, USA. Electronic address: aneal7@utk.edu.']",['eng'],['Journal Article'],20230330,United States,J Prof Nurs,Journal of professional nursing : official journal of the American Association of Colleges of Nursing,8511298,,IM,"['Humans', '*Education, Nursing, Graduate', 'Faculty, Nursing', '*Students, Nursing', 'Workforce', 'Philosophy']",['NOTNLM'],"['Bridge programs', 'DNP-PhD', 'Doctor of Nursing Practice', 'Doctor of Philosophy', 'Phenomenology']",2023/05/16 01:09,2023/05/17 06:42,['2023/05/15 20:56'],"['2022/08/19 00:00 [received]', '2023/02/27 00:00 [revised]', '2023/03/08 00:00 [accepted]', '2023/05/17 06:42 [medline]', '2023/05/16 01:09 [pubmed]', '2023/05/15 20:56 [entrez]']","['S8755-7223(23)00042-X [pii]', '10.1016/j.profnurs.2023.03.003 [doi]']",ppublish,J Prof Nurs. 2023 May-Jun;46:168-178. doi: 10.1016/j.profnurs.2023.03.003. Epub 2023 Mar 30.,,,['Declaration of competing interest None.'],,,,,,,,,,,,,,,,,,
37161543,NLM,MEDLINE,20230511,20230513,1756-0500 (Electronic) 1756-0500 (Linking),16,1,2023 May 9,"Peer-led team learning in an undergraduate biology course: Impacts on recruitment, retention, and imposter phenomenon.",73,10.1186/s13104-023-06338-7 [doi] 73,"OBJECTIVES: The data presented in this note were collected during a multi-year project conducted in the context of large-enrollment introductory biology course at a large private R-1 research institution in the Northeastern United States. The project aimed to examine the impact of Peer-Led Team Learning (PLTL) on the recruitment and retention of marginalized groups in Science, Technology, Engineering, and Mathematics (STEM) majors. While several results from the project have been published, additional data of interest have yet to be reported. This data note reports on additional associations between PLTL participation and improved outcomes for students from groups that have historically been excluded in STEM. Additional data reported herein were collected to determine if students in the course experienced imposter phenomenon, and whether PLTL may be associated with reduced levels of imposter feelings. DATA DESCRIPTION: The data in this note includes academic information such as final course grades and academic level; socio-demographic information such as gender identity, minority status, and first-generation status; and information on student recruitment, retention, imposter feelings, and participation in Peer-Led Team Learning (PLTL). These data might be useful and of value to education researchers and undergraduate STEM instructors who are interested in improving equity in STEM education.",['(c) 2023. The Author(s).'],"['Maxwell, Mariah C', 'Snyder, Julia J', 'Dunk, Ryan D P', 'Sloane, Jeremy D', 'Cannon, Isabella', 'Wiles, Jason R']","['Maxwell MC', 'Snyder JJ', 'Dunk RDP', 'Sloane JD', 'Cannon I', 'Wiles JR']","['Syracuse University, Syracuse, NY, USA. mcmaxwel@syr.edu.', 'Syracuse University, Syracuse, NY, USA.', 'Auburn University, Auburn, AL, USA.', 'Skidmore College, Saratoga Springs, NY, USA.', 'Syracuse University, Syracuse, NY, USA.', 'Syracuse University, Syracuse, NY, USA. jwiles01@syr.edu.']",['eng'],['Journal Article'],20230509,England,BMC Res Notes,BMC research notes,101462768,['imposter syndrome'],IM,"['Male', 'Female', 'Humans', '*Gender Identity', '*Anxiety Disorders', 'Students', 'Biology']",['NOTNLM'],"['Biology', 'First-generation college student', 'Gateway course', 'Imposter phenomenon', 'Peer-led team learning (PLTL)', 'Recruitment', 'Retention', 'Undergraduate', 'Underrepresented minority (URM)', 'Women']",2023/05/10 06:42,2023/05/11 06:42,['2023/05/10 03:59'],"['2022/07/22 00:00 [received]', '2023/04/18 00:00 [accepted]', '2023/05/11 06:42 [medline]', '2023/05/10 06:42 [pubmed]', '2023/05/10 03:59 [entrez]']","['10.1186/s13104-023-06338-7 [pii]', '6338 [pii]', '10.1186/s13104-023-06338-7 [doi]']",epublish,BMC Res Notes. 2023 May 9;16(1):73. doi: 10.1186/s13104-023-06338-7.,['ORCID: 0000-0003-1011-3546'],PMC10170855,['None declared.'],"['1352740/National Science Foundation/', '1352740/National Science Foundation/', '1352740/National Science Foundation/', '1352740/National Science Foundation/', '1352740/National Science Foundation/']",,,,,,,,,,,,,,,,,
37125973,NLM,MEDLINE,20230605,20230608,1942-5546 (Electronic) 0025-6196 (Linking),98,6,2023 Jun,Examining Impostor Phenomenon Through the Lens of Humility: Spotlighting Conceptual (Dis)Connections.,905-914,S0025-6196(23)00031-9 [pii] 10.1016/j.mayocp.2023.01.020 [doi],"Impostor phenomenon has gained increasing attention within the health care and health professions education literature. Although consistently depicted as a debilitating socioemotional experience, studies also suggest a strategic aspect to impostor phenomenon - denoting a conceptual ambiguity to impostor phenomenon that has yet to fully examined. Within this paper, we use humility as a conceptual sparring partner with impostor phenomenon to examine the similarities and differences between the concepts, as well as explore the various nuances associated with impostor phenomenon. By comparing and contrasting impostor phenomenon and humility from interdisciplinary perspectives and within the context of health professions specifically, we not only further refine their meaning and usage within the literature, but also spotlight key areas for future research.","['Copyright (c) 2023 Mayo Foundation for Medical Education and Research. Published by', 'Elsevier Inc. All rights reserved.']","['Michalec, Barret', 'Gomez-Morales, Abigail', 'Tilburt, Jon C', 'Hafferty, Frederic W']","['Michalec B', 'Gomez-Morales A', 'Tilburt JC', 'Hafferty FW']","['Edson College of Nursing and Health Innovation, Arizona State University, Phoenix, AZ, USA. Electronic address: Barret.Michalec@asu.edu.', 'Edson College of Nursing and Health Innovation, Arizona State University, Phoenix, AZ, USA.', 'General Internal Medicine, Biomedical Ethics Research Program, Mayo Clinic, Scottsdale, AZ, USA.', 'Division of General Internal Medicine, Program in Professional and Values, Mayo Clinic, Rochester, MN, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",20230429,England,Mayo Clin Proc,Mayo Clinic proceedings,0405543,['imposter syndrome'],IM,"['Humans', '*Self Concept', '*Anxiety Disorders']",,,2023/05/01 12:43,2023/06/05 06:42,['2023/05/01 10:30'],"['2022/09/23 00:00 [received]', '2022/12/23 00:00 [revised]', '2023/01/30 00:00 [accepted]', '2023/06/05 06:42 [medline]', '2023/05/01 12:43 [pubmed]', '2023/05/01 10:30 [entrez]']","['S0025-6196(23)00031-9 [pii]', '10.1016/j.mayocp.2023.01.020 [doi]']",ppublish,Mayo Clin Proc. 2023 Jun;98(6):905-914. doi: 10.1016/j.mayocp.2023.01.020. Epub 2023 Apr 29.,,,,,,,,,,,,,,,,,,,,,
37121866,NLM,MEDLINE,20230523,20230523,1878-7452 (Electronic) 1878-7452 (Linking),80,6,2023 Jun,"Minority Resident Physicians' Perspectives on the Role of Race/Ethnicity, Culture, and Gender in Their Surgical Training Experiences.",833-845,S1931-7204(23)00102-2 [pii] 10.1016/j.jsurg.2023.03.009 [doi],"BACKGROUND: Female and racial/ethnic minority representation in surgical programs continues to trail behind other medical specialties. Various structural and perceived obstacles which contribute to a difficult path for underrepresented minority (URM) trainees have been identified, and efforts to reduce these hurdles are underway. Gaining perspective and insight from current surgical minority trainees may add valuable insight to aid with improving and innovating strategies to recruit and retain URM surgeons. OBJECTIVE: To characterize how race/ethnicity, cultural background, and gender affect the surgical training experience of URM surgical residents in all areas of surgery a focus on the field of Orthopedic Surgery, given its particularly poor rates of diversity. METHODS: Authors conducted semi-structured video interviews on current surgical residents or fellows who were members of underrepresented populations including Female, African-American/Black, Latino, Asian, Native American, and First or Second-generation immigrant status. Recruitment was achieved through a combination of voluntary, convenience, and snowball sampling procedures. Interview transcripts were then coded using conventional thematic analysis. Themes were iteratively expanded into subthemes and subsequently categorized utilizing a pile-sorting methodology. RESULTS: Among 23 surgical trainees 12 self-identified as Black (60.9%), 5 as Asian (17.4%), 1 as Hispanic (4.4%), and 5 as Caucasian (17.4%). Twelve residents identified as male (52%) and 11 as female (48%). Six surgical specialties were represented with the majority of participants (83%) being trainees in surgical subspecialties, among those orthopedic surgery was most strongly represented (57%). Analysis of their responses revealed 4 major themes: positive experiences, problems related to minority status, coping strategies, and participant suggested interventions. Themes were distilled further to sub-themes. Positive experiences' sub-themes included finding a supportive community, pride in minority status, and being able to better relate to patients. Negative experiences related to minority status' subthemes included perceived microaggressions and additional pressures, such as greater scrutiny and harsher punishments relative to their nonminority counterparts, which negatively impacted their surgical training. Most respondents did not feel there were dedicated resources to help alleviate these additional burdens, so some sought help outside of their training programs while others tried to assimilate, and others felt isolated. Recommended proposed interventions included validating the URM resident experience, providing education/training, and creating opportunities for mentorship. IMPLICATIONS/CONCLUSIONS: URM surgical trainees face numerous challenges related to their minority status. Recruitment and retention of URM in medicine would benefit from individual early and longitudinal mentorship, mitigating imposter syndrome, acknowledging the challenges faced by residents, and seeking feedback from both past and current residents.","['Copyright (c) 2023 Association of Program Directors in Surgery. Published by', 'Elsevier Inc. All rights reserved.']","['Koech, Hilary', 'Albanese, Jessica', 'Saeks, Douglas', 'Habashi, Kian', 'Strawser, Payton', 'Hall, Michael Jr', 'Kim, Kelvin', 'Maitra, Sukanta']","['Koech H', 'Albanese J', 'Saeks D', 'Habashi K', 'Strawser P', 'Hall M Jr', 'Kim K', 'Maitra S']","['UNLV Department of Orthopedics, University Medical Center, Las Vegas, Nevada.', 'UNLV Department of Orthopedics, University Medical Center, Las Vegas, Nevada; Duke University Department of Orthopedics, Duke University Medical Center, Durham, North Carolina.', 'Kirk Kerkorian School of Medicine, University of Nevada, Las Vegas (UNLV), Las Vegas, Nevada. Electronic address: saeksd1@unlv.nevada.edu.', 'Duke University Department of Orthopedics, Duke University Medical Center, Durham, North Carolina.', 'UNLV Department of Orthopedics, University Medical Center, Las Vegas, Nevada.', 'UNLV Department of Orthopedics, University Medical Center, Las Vegas, Nevada.', 'UNLV Department of Orthopedics, University Medical Center, Las Vegas, Nevada.', 'UNLV Department of Orthopedics, University Medical Center, Las Vegas, Nevada; Duke University Department of Orthopedics, Duke University Medical Center, Durham, North Carolina.']",['eng'],['Journal Article'],20230428,United States,J Surg Educ,Journal of surgical education,101303204,,IM,"['Humans', 'Male', 'Female', 'United States', 'Ethnicity', 'Minority Groups', 'Hispanic or Latino', 'Black or African American', '*Surgeons', '*Internship and Residency']",['NOTNLM'],"['bias', 'surgical residency', 'surgical trainees', 'underrepresented minorities']",2023/05/01 00:41,2023/05/23 06:42,['2023/04/30 22:01'],"['2022/12/02 00:00 [received]', '2023/03/22 00:00 [revised]', '2023/03/31 00:00 [accepted]', '2023/05/23 06:42 [medline]', '2023/05/01 00:41 [pubmed]', '2023/04/30 22:01 [entrez]']","['S1931-7204(23)00102-2 [pii]', '10.1016/j.jsurg.2023.03.009 [doi]']",ppublish,J Surg Educ. 2023 Jun;80(6):833-845. doi: 10.1016/j.jsurg.2023.03.009. Epub 2023 Apr 28.,,,,,,,,,,,,,,,,,,,,,
37099389,NLM,Publisher,,20230426,1938-3800 (Electronic) 0742-3225 (Linking),,,2023 Apr 18,URiMs and Imposter Syndrome: Symptoms of Inhospitable Work Environments?,,10.22454/FamMed.2023.376821 [doi],"BACKGROUND AND OBJECTIVES: Workforce diversity is associated with improved health outcomes. Currently, primary care physicians who are underrepresented in medicine (URiM) disproportionately work in underserved areas. Increasingly, URiM faculty describe experiencing imposter syndrome (IS), including a sense of not belonging in their work environment and a lack of recognition. Studies of IS among family medicine faculty are not prevalent nor are the factors most associated with IS among URiMs and non-URiMs. The objectives of our study were to (1) determine prevalence of IS among URiM faculty compared to non-URiM faculty; (2) determine factors associated with IS among both URiM and non-URiM faculty. METHODS: Four hundred thirty participants completed anonymous, electronic surveys. We measured IS using a 20-item validated scale. RESULTS: Among all respondents, 43% reported frequent/intense IS. URiMs were not more likely than non-URiMs to report IS. Factors independently associated with IS for both URiM and non-URiM respondents include inadequate mentorship (P&lt;.05) and poor professional belonging (P&lt;.05). However, inadequate mentorship, low professional integration and belonging, and racial/ethnic discrimination-based exclusion from professional opportunities (all P&lt;.05) were more prevalent among URiMs than non-URiMs. CONCLUSIONS: While URiMs are not more likely than non-URiMS to experience frequent/intense IS, they are more likely to report racial/ethnic discrimination, inadequate mentorship, and low professional integration and belonging. These factors are associated with IS and may be reflective of how institutionalized racism impedes mentorship and optimal professional integration, which may be internalized and perceived as IS among URiM faculty. Yet, URiM career success in academic medicine is crucial for achieving health equity.",,"['Carvajal, Diana N', 'Reid, Lawrence D', 'Zambrana, Ruth Enid']","['Carvajal DN', 'Reid LD', 'Zambrana RE']","['Department of Family & Community Medicine, University of Maryland School of Medicine, Baltimore, MD.', 'Department of Family & Community Medicine, University of Maryland School of Medicine, Baltimore, MD.', 'Department of Family & Community Medicine, University of Maryland School of Medicine, Baltimore, MD.', 'Harriet Tubman Department of Women, Gender, and Sexuality Studies, University of Maryland, College Park, MD.']",['eng'],['Journal Article'],20230418,United States,Fam Med,Family medicine,8306464,,IM,,,,2023/04/26 12:41,2023/04/26 12:41,['2023/04/26 12:03'],"['2023/04/26 12:41 [medline]', '2023/04/26 12:41 [pubmed]', '2023/04/26 12:03 [entrez]']",['10.22454/FamMed.2023.376821 [doi]'],aheadofprint,Fam Med. 2023 Apr 18. doi: 10.22454/FamMed.2023.376821.,,,,,,,,,,,,,,,,,,,,,
